"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5550","navigate to form page @smoke","chromium","2026-04-29","passed","2026-04-29","","usePageObjects.spec.ts","",""
"","5243","parametrized methods","chromium","2026-04-29","passed","2026-04-29","","usePageObjects.spec.ts","",""
